"id","name","neighbourhood_group_cleansed","neighbourhood_cleansed","property_type","room_type","number_of_reviews","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","bedrooms","beds","price"
8943358,"Loved by NYLocals Private Room SoHo","Manhattan","SoHo","Private room in rental unit","Private room",327,4.63,4.68,4.63,4.84,4.82,4.96,4.65,1,1,110
8949503,"Huge, Sumptuous En-Suite Bedroom","Brooklyn","Williamsburg","Private room in rental unit","Private room",1,4,4,3,5,4,5,3,1,1,125
8950064,"Brooklyn Apt with AMAZING NYC view","Brooklyn","Sunset Park","Entire rental unit","Entire home/apt",1,5,4,4,5,5,4,4,1,1,115
8951083,"Sunny, Corner Studio by McCarren Park","Brooklyn","Greenpoint","Entire rental unit","Entire home/apt",47,4.87,4.93,4.93,4.83,4.89,4.98,4.72,1,1,169
8951480,"Unique townhouse apartment","Manhattan","Upper West Side","Entire rental unit","Entire home/apt",2,4.5,4.5,3.5,4.5,4.5,4.5,4.5,1,2,101
8951763,"Cozy 1 Bedroom apt right by park!","Brooklyn","Prospect-Lefferts Gardens","Entire rental unit","Entire home/apt",1,5,5,5,5,5,5,5,1,1,69
8952816,"CHARMING  ROOM CLOSE TO MANHATTAN","Queens","Astoria","Private room in townhouse","Private room",181,4.68,4.84,4.79,4.89,4.81,4.85,4.83,1,1,42
8953200,"CLASSIC BEDROOM CLOSE TO MANHATTAN","Queens","Astoria","Private room in residential home","Private room",166,4.66,4.81,4.75,4.83,4.77,4.82,4.72,1,1,55
8953404,"LARGE BEDROOM CLOSE TO MANHATTAN","Queens","Astoria","Private room in residential home","Private room",103,4.73,4.84,4.8,4.88,4.83,4.74,4.81,1,1,50
8953625,"PRIVATE, CLEAN, ROOM CLOSE TO MANH","Queens","Astoria","Private room in townhouse","Private room",188,4.77,4.91,4.88,4.87,4.82,4.78,4.77,1,1,46
8955506,"Large Room in Artist Loft","Brooklyn","Greenpoint","Private room in rental unit","Private room",1,4,5,5,5,5,3,4,1,2,56
8955750,"Sunny Brooklyn Brownstone apartment","Brooklyn","Sunset Park","Entire rental unit","Entire home/apt",75,4.95,4.95,4.97,4.99,4.99,4.58,4.86,2,2,140
8963968,"Large room in cute neighborhood","Brooklyn","Prospect Heights","Private room in rental unit","Private room",8,4.88,4.88,4.88,4.88,5,4.75,4.75,1,1,47
8964308,"Relaxing Modern Brooklyn Space","Brooklyn","Crown Heights","Entire rental unit","Entire home/apt",10,4.9,4.8,4.8,5,5,4.5,4.9,1,2,125
8964446,"Cozy Bedroom in Astoria Two Bedroom Apartment.","Queens","Astoria","Private room in rental unit","Private room",5,4.8,5,4.4,5,5,5,5,1,1,42
8966368,"Beautiful Apartment in Cobble Hill","Brooklyn","Carroll Gardens","Entire rental unit","Entire home/apt",1,5,5,5,5,5,5,4,1,1,225
